04/11/2013 09h,04/11/2013 12h,vh,Vidéo et Hypermédia,Bellos Stavroula ,P8 A175
04/11/2013 12h,04/11/2013 15h,bdm,Base de Données Multimédia et Indexation,Nasreddine BOUHAÏ,P8 A175
04/11/2013 15h,04/11/2013 18h,rm,Rencontres Médias(mutualisé avec les Gobelins),Samuel Szonieck,P8 A175
05/11/2013 09h,05/11/2013 12h,th,Théorie de Hypermédia,Philippe BOOTZ,P8 A 190
05/11/2013 12h,05/11/2013 15h,lh,Langages Hypermédias,Samuel Szonieck,P8 A190
05/11/2013 15h,05/11/2013 18h,es,E-Services,Imad SALEH,P8 A190
06/11/2013 09h,06/11/2013 12h,dh,Design & Hypermédia,Imad SALEH,P8 A190
06/11/2013 12h,06/11/2013 15h,oc,Les Outils de Conduite de Projets,Khaldoun ZREIK,P8 A190
06/11/2013 15h,06/11/2013 18h,iw,Intégration Web,Nasreddine BOUHAI,P8 A190
07/11/2013 09h,07/11/2013 12h,,,,
07/11/2013 12h,07/11/2013 15h,,,,
07/11/2013 15h,07/11/2013 18h,,,,
08/11/2013 09h,08/11/2013 12h,,,,
08/11/2013 12h,08/11/2013 15h,,,,
08/11/2013 15h,08/11/2013 18h,,,,
11/11/2013 09h,11/11/2013 12h,vh,Vidéo et Hypermédia,Bellos Stavroula ,P8 A175
11/11/2013 12h,11/11/2013 15h,bdm,Base de Données Multimédia et Indexation,Nasreddine BOUHAÏ,P8 A175
11/11/2013 15h,11/11/2013 18h,rm,Rencontres Médias(mutualisé avec les Gobelins),Samuel Szonieck,P8 A175
12/11/2013 09h,12/11/2013 12h,th,Théorie de Hypermédia,Philippe BOOTZ,P8 A 190
12/11/2013 12h,12/11/2013 15h,lh,Langages Hypermédias,Samuel Szonieck,P8 A190
12/11/2013 15h,12/11/2013 18h,es,E-Services,Imad SALEH,P8 A190
13/11/2013 09h,13/11/2013 12h,dh,Design & Hypermédia,Imad SALEH,P8 A190
13/11/2013 12h,13/11/2013 15h,oc,Les Outils de Conduite de Projets,Khaldoun ZREIK,P8 A190
13/11/2013 15h,13/11/2013 18h,iw,Intégration Web,Nasreddine BOUHAI,P8 A190
14/11/2013 09h,14/11/2013 12h,,,,
14/11/2013 12h,14/11/2013 15h,,,,
14/11/2013 15h,14/11/2013 18h,,,,
15/11/2013 09h,15/11/2013 12h,,,,
15/11/2013 12h,15/11/2013 15h,,,,
15/11/2013 15h,15/11/2013 18h,,,,
